pkt_rate,byte_rate,flow_dur,src_ip_ent,dst_ip_ent,avg_pkt_size,protocol,n_flows_same_src,label
178164.9542,11835836.4817,52.6889,10.3435,0.0899,66.4319,1,2,1
0.054414,2.503061,36.755,1.905639,1.905639,46.0,17,3,0
3.362927,239.440409,52.038,1.970951,1.970951,71.2,6,2,0
0.589605,56.130421,33.921,1.891061,1.974938,95.2,0,1,0
1.347379,72.758452,8.164,9.184875,0.018258,54.0,6,1,1
0.598137,57.022416,35.109,1.5,1.5,95.333,0,1,0
170101.4806,16425462.5996,36.1197,7.1745,0.045,96.5627,1,2,1
8.243607,592.362046,5.944,1.918296,1.918296,71.857,6,2,0
0.341192,33.436828,29.309,1.905639,1.905639,98.0,1,2,0
1.480836,62.195122,11.48,9.189825,0.018204,42.0,17,1,1
3.924053,40471.949151,48.929,1.905639,1.905639,10313.812,6,2,0
0.538286,22.607994,7.431,9.184875,0.018258,42.0,17,1,1
30890.996,1321584.7702,72.7778,7.6932,0.3447,42.7822,6,1,1
111354.9826,4769732.9982,27.8309,8.9101,0.1173,42.8336,1,2,1
15490.6879,897463.0311,10.5761,7.6996,0.3489,57.9356,6,2,1
0.59651,25.053437,20.117,9.189825,0.0,42.0,17,1,1
0.053683,2.25467,18.628,9.189825,0.0,42.0,17,1,1
0.637992,60.538395,56.427,1.0,1.0,94.889,0,1,0
0.28081,27.519393,28.489,1.905639,1.905639,98.0,1,2,0
102576.8079,3359643.1235,5.3735,8.3431,0.2249,32.7525,1,2,1
0.787179,70.180042,49.544,1.970951,1.970951,89.154,6,3,0
0.652223,60.493651,49.063,1.0,1.0,92.75,0,1,0
0.151722,6.372326,13.182,9.189825,0.0,42.0,17,1,1
0.919625,38.624241,5.437,9.189825,0.0,42.0,17,1,1
2.7063,299.5074,19.0263,0.5343,0.757,110.6693,1,3,0
4.824561,202.631579,11.4,9.189825,0.018204,42.0,17,1,1
0.864258,73.650948,37.026,1.905639,1.905639,85.219,6,3,0
0.28141,22.325197,53.303,1.918296,1.918296,79.333,0,1,0
0.537646,52.689352,44.639,1.905639,1.905639,98.0,1,2,0
0.449169,44.018566,6.679,1.970951,1.970951,98.0,1,2,0
2.632855,110.579921,14.433,9.189825,0.018204,42.0,17,1,1
0.486181,47.645761,26.739,1.811278,1.811278,98.0,1,3,0
5.085015,52445.336088,12.586,1.970951,1.970951,10313.703,6,2,0
3.225806,316.129032,0.31,1.905639,1.905639,98.0,1,2,0
0.856203,69.62282,22.191,1.905639,1.905639,81.316,6,3,0
171536.9008,10352131.7335,14.3278,8.0049,0.0314,60.3493,1,2,1
1.381103,74.579576,12.309,9.184875,0.018258,54.0,6,1,1
11836.0711,679786.9366,32.2635,7.2735,0.1201,57.4335,6,3,1
0.6647,47.5453,13.6483,0.6253,1.2583,71.5243,1,1,0
0.11274,4.735062,8.87,9.189825,0.018204,42.0,17,1,1
0.582651,54.22079,58.354,1.918296,1.918296,93.059,0,1,0
4.529279,47450.735109,27.819,1.905639,1.905639,10476.444,6,2,0
15.385168,22846.040476,55.638,1.459148,1.459148,1484.939,17,2,0
0.3245,13.628989,9.245,9.189825,0.018204,42.0,17,1,1
0.281849,15.219842,7.096,9.189825,0.0,54.0,6,1,1
5.777778,312.0,4.5,9.184875,0.018258,54.0,6,1,1
10481.7167,470344.8874,38.1977,6.3904,0.1952,44.8729,6,7,1
117759.8083,7732961.1866,62.1528,7.7534,0.2156,65.6672,1,2,1
3.235373,135.885683,7.418,9.189825,0.0,42.0,17,1,1
108285.6392,7443689.1493,11.3551,10.1781,0.1189,68.7412,1,2,1
11.565836,768.683274,2.248,1.5,1.5,66.462,6,2,0
2.435825,131.53457,5.337,9.189825,0.0,54.0,6,1,1
0.722022,30.32491,1.385,9.189825,0.0,42.0,17,1,1
0.437374,18.36969,18.291,9.189825,0.0,42.0,17,1,1
0.078889,3.313348,12.676,9.189825,0.0,42.0,17,1,1
21708.3663,12008853.8467,53.4939,0.681,0.1756,553.1901,17,8,1
0.076593,3.216912,13.056,8.924813,0.0,42.0,0,1,1
1.402525,58.906031,4.278,9.189825,0.0,42.0,17,1,1
20212.6233,1003483.4076,75.7471,9.0555,0.2549,49.6464,6,9,1
1.296386,54.448226,12.342,9.189825,0.0,42.0,17,1,1
0.091025,3.823048,10.986,1.459148,1.459148,42.0,0,1,0
0.559519,23.49979,7.149,9.189825,0.0,42.0,17,1,1
36413.5714,2126918.6161,70.0803,7.6322,0.3897,58.4101,6,7,1
159604.7226,11652823.5714,20.1793,8.1853,0.0379,73.0105,1,2,1
0.091008,3.822352,10.988,1.970951,1.970951,42.0,0,1,0
1.915709,80.45977,2.088,9.184875,0.018258,42.0,17,1,1
0.142025,7.669365,7.041,9.189825,0.0,54.0,6,1,1
0.414293,17.400311,9.655,9.189825,0.0,42.0,17,1,1
0.079114,3.322785,12.64,1.970951,1.970951,42.0,0,1,0
1.1866,126.4722,23.0019,0.4457,0.1754,106.5851,1,1,0
0.061087,2.565669,16.37,9.189825,0.0,42.0,17,1,1
0.046653,1.959412,21.435,1.970951,1.970951,42.0,0,1,0
1.058201,96.351031,54.81,1.0,1.0,91.052,6,2,0
11.709602,632.318501,4.27,9.184875,0.018258,54.0,6,1,1
0.628437,26.394344,6.365,9.189825,0.0,42.0,17,1,1
11.312217,475.113122,0.442,9.189825,0.0,42.0,17,1,1
0.60015,56.014004,19.995,1.918296,1.918296,93.333,0,1,0
154807.8886,15144409.1565,17.4431,8.5883,0.0708,97.8271,1,1,1
16538.355,14078653.9092,47.8811,2.8482,0.4715,851.2729,17,12,1
0.032941,1.383536,30.357,1.811278,1.811278,42.0,0,1,0
0.845881,82.896295,5.911,1.970951,1.970951,98.0,1,3,0
0.367748,15.445435,10.877,9.189825,0.0,42.0,17,1,1
3.169186,171.136031,12.306,9.184875,0.018258,54.0,6,1,1
72097.5129,71389046.5575,11.0996,2.8825,0.3331,990.1735,17,23,1
11.473963,619.593998,1.133,9.189825,0.0,54.0,6,1,1
168152.1203,7311160.0431,16.3437,7.1301,0.0422,43.4794,1,2,1
0.180595,13.90582,44.298,1.905639,1.905639,77.0,0,1,0
1.174415,106.528028,34.911,1.970951,1.970951,90.707,6,2,0
0.053453,2.458841,56.124,1.0,1.0,46.0,17,2,0
0.412556,37.41704,55.75,1.905639,1.905639,90.696,0,1,0
0.881057,47.577093,6.81,9.189825,0.0,54.0,6,1,1
11293.7406,595431.3177,87.2845,8.1163,0.1089,52.7222,6,7,1
182268.54,15077711.6591,98.8199,7.1707,0.2531,82.7225,1,1,1
0.225251,9.460525,8.879,9.189825,0.018204,42.0,17,1,1
0.537851,22.589754,7.437,9.189825,0.0,42.0,17,1,1
16.293279,684.317719,2.946,9.189825,0.0,42.0,17,1,1
0.632711,34.166403,6.322,9.189825,0.0,54.0,6,1,1
3.262842,233.497155,49.037,1.970951,1.970951,71.562,6,2,0
3.282276,177.242888,2.742,9.189825,0.0,54.0,6,1,1
0.051036,2.347657,39.188,1.918296,1.918296,46.0,17,2,0
1.900538,169.62306,6.314,1.905639,1.905639,89.25,6,2,0
1.950318,81.913365,9.742,9.189825,0.0,42.0,17,1,1
3.563194,149.654161,9.542,9.189825,0.018204,42.0,17,1,1
0.562359,55.111222,16.004,1.811278,1.811278,98.0,1,1,0
0.673602,36.374523,13.361,9.189825,0.0,54.0,6,1,1
35.135135,52351.351351,1.85,1.970951,1.970951,1490.0,17,3,0
0.310583,16.771488,12.879,9.189825,0.0,54.0,6,1,1
3.512469,189.67334,11.388,9.184875,0.018258,54.0,6,1,1
0.443316,41.188087,24.813,1.905639,1.905639,92.909,0,1,0
0.11672,4.902247,17.135,9.189825,0.0,42.0,17,1,1
1.197298,50.286496,11.693,9.189825,0.0,42.0,17,1,1
0.730407,71.57987,27.382,1.918296,1.918296,98.0,1,1,0
28534.483,2576028.5288,88.6701,8.8772,0.0867,90.2777,1,2,1
1.091984,99.402621,31.136,1.970951,1.970951,91.029,6,3,0
170175.5936,11412873.7527,89.4226,9.2876,0.0822,67.0653,1,2,1
0.088786,3.729024,11.263,9.189825,0.018204,42.0,17,1,1
0.285621,27.99086,24.508,1.970951,1.970951,98.0,1,3,0
0.865327,72.722778,56.626,1.0,1.0,84.041,6,2,0
0.778412,32.693306,3.854,9.184875,0.018258,42.0,17,1,1
3.543939,251.398195,36.118,1.970951,1.970951,70.938,6,2,0
97693.6419,79547437.5791,27.3997,0.3296,0.3766,814.254,17,3,1
4.67891,196.514212,8.549,9.189825,0.0,42.0,17,1,1
3.58174,254.102555,54.722,1.918296,1.918296,70.944,6,1,0
1.520142,135.545984,7.894,1.905639,1.905639,89.167,6,1,0
0.510962,47.473058,43.056,1.918296,1.918296,92.909,0,1,0
51239.7286,53666950.8773,30.9484,1.5557,0.2231,1047.3699,17,24,1
8.207572,344.71803,3.777,9.189825,0.0,42.0,17,1,1
2.222742,93.355171,8.548,9.189825,0.0,42.0,17,1,1
0.142146,5.970149,7.035,1.905639,1.905639,42.0,0,1,0
183005.7872,8578542.9615,116.8587,7.745,0.0242,46.8758,1,2,1
0.102648,4.31123,9.742,9.189825,0.0,42.0,17,1,1
66157.3138,57362233.5217,17.1462,1.3018,0.3668,867.0581,17,27,1
0.322615,13.549844,9.299,9.189825,0.018204,42.0,17,1,1
82146.2555,63310937.2149,30.1412,1.793,0.4053,770.71,17,39,1
0.424043,17.809817,9.433,9.189825,0.018204,42.0,17,1,1
35367.3018,3297086.9898,44.5712,9.6948,0.167,93.2242,1,1,1
0.317158,13.320647,9.459,9.189825,0.0,42.0,17,1,1
0.641849,26.957638,1.558,9.189825,0.0,42.0,17,1,1
0.47259,25.519849,4.232,9.184875,0.018258,54.0,6,1,1
0.282263,27.661736,17.714,1.970951,1.970951,98.0,1,3,0
10.378827,560.456668,3.854,9.184875,0.018258,54.0,6,1,1
0.75252,66.459394,50.497,1.905639,1.905639,88.316,6,2,0
0.196309,19.23832,5.094,1.905639,1.905639,98.0,0,1,0
105324.2651,3805566.9716,30.8321,7.3051,0.2157,36.1319,1,1,1
177241.7722,7651348.047,102.0181,9.185,0.0218,43.169,1,1,1
0.069891,3.774112,14.308,9.189825,0.0,54.0,6,1,1
19144.0556,1210457.4099,85.4047,7.6683,0.0047,63.2289,1,2,1
168386.9243,9580574.0857,52.8677,7.0991,0.2086,56.8962,1,1,1
1.333926,72.032014,6.747,9.189825,0.0,54.0,6,1,1
0.834028,35.029191,9.592,9.189825,0.0,42.0,17,1,1
0.631413,61.878453,19.005,2.0,2.0,98.0,1,1,0
17952.6126,1071131.3454,88.2233,6.0045,0.0332,59.6644,6,3,1
0.94585,92.693308,4.229,1.905639,1.905639,98.0,1,2,0
0.352454,14.803066,11.349,9.184875,0.018258,42.0,17,1,1
107632.9939,3397303.4362,102.788,9.9166,0.2532,31.5638,1,1,1
0.626545,61.401371,57.458,1.918296,1.918296,98.0,1,1,0
44091.6897,2379388.013,85.2524,5.0448,0.4104,53.9645,6,7,1
0.192419,8.081586,10.394,9.189825,0.0,42.0,17,1,1
0.711687,29.890875,12.646,9.189825,0.0,42.0,17,1,1
0.684932,28.767123,4.38,9.189825,0.0,42.0,17,1,1
0.41619,17.479971,9.611,9.189825,0.0,42.0,17,1,1
0.113109,4.750594,8.841,9.189825,0.018204,42.0,17,1,1
0.409232,40.104763,12.218,1.905639,1.905639,98.0,1,3,0
0.175963,7.390463,5.683,1.918296,1.918296,42.0,0,1,0
4.427227,239.070282,9.035,9.189825,0.0,54.0,6,1,1
107536.8589,4660490.7855,103.473,9.1272,0.0251,43.3385,1,1,1
4.251299,42414.416627,52.925,1.970951,1.970951,9976.813,6,2,0
167900.3899,6552548.4494,66.9779,9.5484,0.1801,39.0264,1,2,1
3.080335,166.338098,8.116,9.184875,0.018258,54.0,6,1,1
0.076693,3.221106,13.039,9.189825,0.0,42.0,17,1,1
0.638203,58.969941,47.007,1.459148,1.459148,92.4,0,1,0
0.281849,15.219842,7.096,9.189825,0.0,54.0,6,1,1
0.637379,59.819173,42.361,1.918296,1.918296,93.852,0,1,0
5366.0031,362329.3897,70.6081,7.7676,0.1287,67.5231,1,1,1
0.736739,65.753929,16.288,1.905639,1.905639,89.25,6,2,0
19791.3279,1283653.3946,117.3936,9.2032,0.2012,64.8594,1,2,1
0.366354,19.783118,13.648,9.189825,0.0,54.0,6,1,1
17.021277,919.148936,0.47,9.189825,0.0,54.0,6,1,1
12944.3228,700443.1341,11.1852,5.5922,0.2219,54.112,6,5,1
1.497193,62.882096,8.015,9.189825,0.0,42.0,17,1,1
0.262364,14.167651,7.623,9.184875,0.018258,54.0,6,1,1
47027.201,64347673.6265,41.8895,2.9977,0.4765,1368.3075,17,44,1
0.834376,35.043805,2.397,9.189825,0.0,42.0,17,1,1
3.931,357.9082,2.636,0.6768,1.431,91.0469,1,4,0
13655.2072,1217299.591,74.5756,8.2352,0.0721,89.1455,1,1,1
2.432695,131.365553,12.332,9.189825,0.0,54.0,6,1,1
15.349207,22795.355437,57.788,1.0,1.0,1485.116,17,2,0
0.577701,56.614674,19.041,1.970951,1.970951,98.0,1,2,0
119671.1855,9367687.997,57.7505,8.5179,0.0607,78.2786,1,2,1
1.24805,67.394696,6.41,9.189825,0.0,54.0,6,1,1
166392.3869,13321567.1415,22.9245,9.7043,0.2145,80.0612,1,2,1
4.177661,225.593668,4.548,9.184875,0.018258,54.0,6,1,1
0.066787,2.805049,14.973,9.189825,0.0,42.0,17,1,1
4.256745,44246.690129,29.835,1.905639,1.905639,10394.488,6,2,0
39898.5132,1618684.5512,109.4742,8.0012,0.1551,40.57,1,1,1
0.638916,60.445305,51.65,1.0,1.0,94.606,0,1,0
1.217488,51.134477,9.035,9.189825,0.0,42.0,17,1,1
1.359434,57.096248,11.034,9.189825,0.018204,42.0,17,1,1
0.391389,21.135029,10.22,9.189825,0.0,54.0,6,1,1
3.261165,233.716822,33.117,1.970951,1.970951,71.667,6,2,0
4.410114,45866.17309,37.414,1.905639,1.905639,10400.224,6,1,0
2.3906,268.5353,26.6824,0.8954,0.0161,112.3308,1,1,0
1.131395,102.439211,52.148,1.842371,1.950212,90.542,6,3,0
967.663305,94831.003869,44.717,9.189825,0.036404,98.0,1,1,1
3.422704,143.753565,1.753,9.189825,0.0,42.0,17,1,1
31031.6998,1416691.3194,65.8568,7.6504,0.0717,45.653,6,6,1
0.415007,17.430279,12.048,9.189825,0.0,42.0,17,1,1
2.873563,120.689655,2.088,9.184875,0.018258,42.0,17,1,1
1.865876,78.366809,9.111,9.189825,0.0,42.0,17,1,1
0.112625,4.730262,8.879,9.189825,0.018204,42.0,17,1,1
119.753236,6541.187855,8.267,9.184875,0.0,54.622,6,1,1
163057.6102,15070893.0012,11.4536,8.9166,0.2452,92.4268,1,2,1
2.09205,87.866109,6.214,9.189825,0.0,42.0,17,1,1
1.540357,64.695009,3.246,9.189825,0.0,42.0,17,1,1
36593.5886,1486872.2691,56.748,6.5937,0.1729,40.632,6,2,1
3.544407,254.226024,58.684,1.905639,1.905639,71.726,6,1,0
0.607615,57.655955,29.624,1.918296,1.918296,94.889,0,1,0
0.520508,21.861337,9.606,9.189825,0.0,42.0,17,1,1
46599.4219,1370915.7896,81.2833,7.3644,0.24,29.4192,1,1,1
0.613189,60.092536,53.817,1.905639,1.905639,98.0,1,3,0
0.532021,52.138059,15.037,1.905639,1.905639,98.0,1,3,0
0.156715,8.462623,6.381,9.189825,0.0,54.0,6,1,1
3.670669,262.504288,29.15,1.905639,1.905639,71.514,6,1,0
1.669121,151.693667,10.185,1.970951,1.970951,90.882,6,3,0
1.342132,119.785259,8.941,1.970951,1.970951,89.25,6,2,0
32029.4428,1443800.2006,81.2312,8.7506,0.2402,45.0773,1,2,1
13.640842,20280.391674,32.476,1.905639,1.905639,1486.74,17,2,0
0.512012,47.883343,48.827,1.974938,1.891061,93.52,0,1,0
0.392185,36.437536,28.048,1.918296,1.918296,92.909,0,1,0
8.531657,460.709475,2.227,9.184875,0.018258,54.0,6,1,1
120521.5581,11047351.355,98.6643,7.7983,0.0636,91.6629,1,2,1
11.712439,106729.806139,2.476,1.918296,1.918296,9112.517,6,2,0
0.291206,28.538148,3.434,1.970951,1.970951,98.0,1,2,0
104609.4629,4454263.7732,18.0067,8.0894,0.1771,42.5799,1,1,1
16932.3057,1196362.9033,103.1246,7.2927,0.2414,70.6556,1,2,1
1.062699,44.633369,1.882,9.189825,0.0,42.0,17,1,1
0.61592,58.33122,55.202,1.918296,1.918296,94.706,0,1,0
1.841432,77.340153,9.775,9.189825,0.018204,42.0,17,1,1
158915.0949,11008989.6513,116.3329,7.7709,0.2587,69.2759,1,1,1
0.661295,62.063729,40.829,1.918296,1.918296,93.852,0,1,0
105172.1252,5504279.1131,77.4462,10.174,0.1762,52.3359,1,1,1
8112.1749,356363.2442,53.6123,7.0592,0.4364,43.9294,6,3,1
1.255493,105.461394,3.186,1.905639,1.905639,84.0,0,1,0
143274.6991,11275076.0845,95.0029,9.0641,0.135,78.6955,1,2,1
110934.9794,8094940.715,109.0574,8.0596,0.0888,72.9701,1,2,1
2.287714,96.083973,7.431,9.184875,0.018258,42.0,17,1,1
3.334592,239.996225,31.788,1.905639,1.905639,71.972,6,2,0
0.340803,14.313709,11.737,9.189825,0.0,42.0,17,1,1
5.555556,300.0,4.5,9.184875,0.018258,54.0,6,1,1
6.615599,357.24234,2.872,9.184875,0.018258,54.0,6,1,1
102700.4046,7517709.5175,15.303,9.565,0.118,73.2004,1,2,1
178219.9373,13975197.5543,117.2258,8.7581,0.0499,78.4155,1,1,1
1.032418,43.361553,9.686,9.189825,0.018204,42.0,17,1,1
0.041353,1.736829,24.182,1.905639,1.905639,42.0,0,1,0
72938.597,2929031.9175,107.868,8.7747,0.1794,40.1575,1,1,1
0.395361,16.605166,7.588,9.189825,0.0,42.0,17,1,1
181823.0444,7769433.2761,27.3727,7.6353,0.0042,42.7307,1,1,1
0.180261,17.665615,22.19,1.905639,1.905639,98.0,1,2,0
1.224797,51.441492,10.614,9.189825,0.0,42.0,17,1,1
30745.8345,1419875.9894,32.322,5.9332,0.2045,46.1811,6,6,1
0.785546,32.99293,6.365,9.189825,0.0,42.0,17,1,1
0.332345,29.706514,39.116,1.905639,1.905639,89.385,0,1,0
16.815035,25054.401583,13.143,1.970951,1.970951,1490.0,17,3,0
0.921282,38.693827,9.769,9.189825,0.0,42.0,17,1,1
39170.111,1586979.6054,43.549,8.47,0.0411,40.5151,6,1,1
0.178944,15.866388,33.53,1.918296,1.918296,88.667,0,1,0
61208.4452,77436190.7738,16.5874,1.6467,0.3668,1265.1227,17,27,1
6.890155,495.958659,7.547,1.918296,1.918296,71.981,6,1,0
3824.3694,212447.3408,23.0096,9.0107,0.2646,55.5509,6,3,1
0.190006,7.980239,5.263,9.189825,0.0,42.0,17,1,1
2.580645,139.354839,0.775,9.189825,0.0,54.0,6,1,1
0.456804,44.766745,17.513,1.905639,1.905639,98.0,1,3,0
0.792707,33.293698,12.615,9.189825,0.0,42.0,17,1,1
2.039429,85.656016,7.355,9.189825,0.0,42.0,17,1,1
0.310945,13.059701,3.216,9.189825,0.0,42.0,17,1,1
0.154258,8.329905,19.448,9.189825,0.0,54.0,6,1,1
36761.4812,30012676.2407,9.4293,2.9723,0.1985,816.4164,17,46,1
0.119703,5.027532,8.354,9.189825,0.018204,42.0,17,1,1
0.960663,78.1171,19.778,1.905639,1.905639,81.316,6,2,0
0.078382,3.292052,12.758,9.189825,0.0,42.0,17,1,1
0.349101,14.662245,5.729,9.189825,0.0,42.0,17,1,1
0.050847,2.745716,19.667,9.189825,0.0,54.0,6,1,1
2.875216,120.759057,6.956,9.189825,0.0,42.0,17,1,1
1.570294,65.952337,10.826,9.189825,0.0,42.0,17,1,1
4.6163,335.2728,15.3651,1.2224,0.8777,72.6278,1,4,0
0.84983,74.935013,60.012,1.811278,1.811278,88.176,6,3,0
